Algorithm,Function,Value
SelfOrganizingMigrationAlgorithm,rastrigin,118.61559486751065
SelfOrganizingMigrationAlgorithm,griewank,1.577714881343962
SelfOrganizingMigrationAlgorithm,levy,18.30747810433057
SelfOrganizingMigrationAlgorithm,michalewicz,-17.196355035248498
SelfOrganizingMigrationAlgorithm,zakharov,398.0497414071901
SelfOrganizingMigrationAlgorithm,ackley,14.245670116137559
TeachingLearningBasedOptimization,sphere,0.9912103524711234
TeachingLearningBasedOptimization,schwefel,12154.754581774232
TeachingLearningBasedOptimization,rosenbrock,820.8576576412986
TeachingLearningBasedOptimization,rastrigin,233.66501320660436
TeachingLearningBasedOptimization,griewank,1.0411299413955648
TeachingLearningBasedOptimization,levy,2.445594837846969
TeachingLearningBasedOptimization,michalewicz,-8.056415536100511
TeachingLearningBasedOptimization,zakharov,529.50778136423
TeachingLearningBasedOptimization,ackley,6.365931489415686

DifferentialEvolution,sphere,45.50848402845899
DifferentialEvolution,schwefel,11835.976993215892
DifferentialEvolution,rosenbrock,296889.2967649914
DifferentialEvolution,rastrigin,303.3279468283203
DifferentialEvolution,griewank,1.7489498618181827
DifferentialEvolution,levy,59.80119460339086
DifferentialEvolution,michalewicz,-8.655327846529042
DifferentialEvolution,zakharov,897.1374872042815
DifferentialEvolution,ackley,18.561508970994375
FireflyAlgorithm,sphere,166.973796759854
FireflyAlgorithm,schwefel,12411.121120947526
FireflyAlgorithm,rosenbrock,4242474.863413813
FireflyAlgorithm,rastrigin,417.6794901705599
FireflyAlgorithm,griewank,5.880222726029475
FireflyAlgorithm,levy,246.51702651445834
FireflyAlgorithm,michalewicz,-8.99258383024553
FireflyAlgorithm,zakharov,220189.69670801173
FireflyAlgorithm,ackley,20.67419773516311
ParticleSwarmOptimization,sphere,4.24704535976164
ParticleSwarmOptimization,schwefel,11732.210376019357
ParticleSwarmOptimization,rosenbrock,2429.6745506641746
ParticleSwarmOptimization,rastrigin,136.34393767287222
ParticleSwarmOptimization,griewank,1.0720830333958555
ParticleSwarmOptimization,levy,18.713869684473412
ParticleSwarmOptimization,michalewicz,-10.85713386628053
ParticleSwarmOptimization,zakharov,449.73502106796013
ParticleSwarmOptimization,ackley,10.044438678603843
SelfOrganizingMigrationAlgorithm,sphere,28.239363604648094
